SegmentID,in_station,out_station,distance
14,0,55,866.53
15,0,60,13522.37
16,1,59,20778.77
17,1,37,1415.17
18,2,44,1937.9
19,2,51,1272.55
20,3,50,8418.57
21,3,53,6038.33
22,4,50,11565.88
23,4,53,9185.64
24,5,48,1007.97
25,5,57,1976.39
26,6,46,1550.6
27,6,49,3696.42
0,7,42,4555.16
1,7,34,3512.8
2,7,45,7491.5
3,8,38,3523.63
4,8,43,2142.1
5,9,28,1866.33
6,9,30,5523.36
7,9,32,2604.83
8,10,65,986.4
9,10,31,1626.01
10,11,26,488.13
11,11,29,1405.59
12,12,62,17346.32
13,12,27,3875.18
45,26,62,21221.5
90,26,25,3875.18
70,27,29,4363.31
103,27,24,488.13
44,28,26,4363.31
89,28,24,1405.59
68,29,30,7161.55
69,29,32,4243.02
102,29,22,1866.33
51,30,65,2612.41
92,30,23,1626.01
77,31,28,7161.55
78,31,32,7900.05
106,31,22,5523.36
74,32,40,8889.9
75,32,47,11314.26
76,32,35,8100.1
49,33,28,4243.02
50,33,30,7900.05
91,33,22,2604.83
46,34,40,4417.16
47,34,33,8100.1
48,34,47,6841.52
72,35,42,4877.34
73,35,45,7813.68
105,35,20,3512.8
37,36,59,22193.94
86,36,14,1415.17
59,37,39,10380.7
60,37,41,12827.09
36,38,36,10380.7
58,39,43,3317.81
98,39,21,3523.63
43,40,36,12827.09
65,41,33,8889.9
66,41,47,7631.32
67,41,35,4417.16
35,42,38,3317.81
85,42,21,2142.1
56,43,34,4877.34
57,43,45,8856.04
97,43,20,4555.16
33,44,42,8856.04
34,44,34,7813.68
84,44,20,7491.5
55,45,51,3210.45
96,45,15,1937.9
40,46,40,7631.32
41,46,33,11314.26
42,46,35,6841.52
64,47,49,5247.02
101,47,19,1550.6
39,48,46,5247.02
88,48,19,3696.42
63,49,57,2984.36
100,49,18,1007.97
32,50,44,3210.45
83,50,15,1272.55
54,51,53,12299.42
94,51,16,8418.57
95,51,17,11565.88
31,52,50,12299.42
81,52,16,6038.33
82,52,17,9185.64
53,53,54,3393.48
93,53,13,866.53
52,54,60,14388.9
29,55,52,3393.48
30,55,56,14828.39
38,56,48,2984.36
87,56,18,1976.39
62,57,54,14828.39
61,58,37,22193.94
99,58,14,20778.77
28,61,55,14388.9
80,61,13,13522.37
71,63,27,21221.5
104,63,25,17346.32
79,64,31,2612.41
107,64,23,986.4
