real12,pred12,real3,pred3
84.328,94.28716,98.551,94.26184
88.782,94.19301,103.201,93.96731
87.548,93.78573,102.107,93.91445
91.648,94.21708,85.929,94.01998
96.106,94.63629,90.632,94.09362
95.922,94.800255,95.992,94.237236
91.6,94.36275,83.787,94.19366
104.959,94.52528,95.342,93.76264
90.839,95.09478,90.267,93.87319
89.923,95.51381,84.328,94.20839
95.298,95.48915,88.782,94.056435
89.059,95.2435,87.548,93.902954
91.986,95.38066,91.648,93.66007
92.321,95.42463,96.106,93.509964
94.3,95.04277,95.922,93.31026
93.203,94.40657,91.6,93.55667
104.439,93.82259,104.959,93.9955
91.14,93.594345,90.839,94.45438
92.25,93.58331,89.923,94.51079
94.663,93.46587,95.298,95.163185
97.618,93.37306,89.059,94.995415
93.252,92.95003,91.986,94.76379
92.023,93.30059,92.321,94.99981
93.078,93.40958,94.3,94.907486
102.85,93.82704,93.203,95.0039
85.274,94.64834,104.439,94.8509
94.111,95.01923,91.14,94.68914
96.039,95.321815,92.25,94.505005
74.38,95.56268,94.663,94.645035
80.819,95.5484,97.618,94.05675
95.902,95.078995,93.252,93.8093
97.386,94.60348,92.023,93.96972
105.333,94.39263,93.078,94.24194
94.023,94.37867,102.85,94.386566
108.726,94.11125,85.274,94.487404
96.254,94.295586,94.111,94.57496
61.283,94.19959,96.039,94.71561
120.457,94.25867,74.38,94.35563
112.656,94.054955,80.819,94.19133
110.916,93.9621,95.902,94.21346
93.092,93.669876,97.386,94.06615
83.955,93.190025,105.333,93.6859
52.604,93.75355,94.023,93.55684
96.616,93.24884,108.726,94.130005
76.252,93.60795,96.254,94.832466
103.035,93.957825,61.283,94.58439
33.848,93.935,120.457,93.984505
109.362,91.14759,112.656,93.58481
103.463,88.49141,110.916,93.299866
59.415,88.81944,93.092,90.69165
75.179,86.47342,83.955,89.58294
76.055,88.25442,52.604,89.33669
89.908,88.22659,96.616,89.916695
92.669,89.11094,76.252,90.59178
97.527,89.43669,103.035,91.707664
87.387,91.78362,33.848,89.98254
81.663,91.28262,109.362,91.77513
79.578,93.410545,103.463,89.403625
105.458,93.87661,59.415,87.56636
109.62,96.02843,75.179,86.40067
117.057,95.94124,76.055,88.075714
104.403,95.71653,89.908,87.60789
112.201,95.93534,92.669,87.25663
118.36,96.907745,97.527,87.85819
87.683,97.59898,87.387,89.91651
98.666,97.22826,81.663,92.52529
100.531,96.3139,79.578,93.402565
108.331,96.21268,105.458,94.05785
106.944,96.681274,109.62,95.573875
105.313,96.66263,117.057,96.54936
90.355,95.42494,104.403,97.36615
