src_FID,nbr_FID,weight
0,0,1.0
0,13,0.22234692
0,37,0.5088465
0,42,0.13740046
0,54,0.4409315
0,111,0.21944809
0,116,0.41578582
0,125,0.10258746
0,140,0.11251228
0,142,0.7216228
0,145,0.87776124
0,199,0.11980409
1,1,1.0
1,2,0.3909554
1,7,0.39045706
1,28,0.573732
1,78,0.20909733
1,107,0.16216348
1,177,0.92621875
1,183,0.15487239
2,1,0.7174379
2,2,1.0
2,28,0.17432716
2,49,0.441055
2,78,0.92367977
2,123,0.29931417
2,129,0.16393073
2,177,0.4829466
2,183,0.5701921
3,3,1.0
3,4,0.63372165
3,12,0.11933213
3,15,0.52255076
3,17,0.7409004
3,33,0.27014008
3,80,0.5133506
3,144,0.19402061
3,161,0.16145374
3,188,0.26349494
3,191,0.4547534
3,192,0.9461079
3,193,0.15311207
3,195,0.37622455
4,3,0.62646437
4,4,1.0
4,6,0.1351968
4,15,0.98319036
4,16,0.12086103
4,17,0.33143938
4,33,0.80287254
4,80,0.17518452
4,91,0.10227633
4,93,0.36137518
4,136,0.14728712
4,138,0.21767524
4,144,0.69338554
4,191,0.14448352
4,192,0.5795594
4,195,0.10796493
5,3,0.8948124
5,4,0.36143157
5,5,1.0
5,15,0.7656848
5,17,0.46013805
5,33,0.4813213
5,80,0.26647246
5,93,0.14267245
5,144,0.37403995
5,188,0.10915417
5,191,0.22514357
5,192,0.72363085
5,195,0.17413114
6,6,1.0
6,16,0.11027748
6,91,0.41100523
6,93,0.1681836
6,124,0.2577882
6,136,0.15717632
6,174,0.44043756
7,7,1.0
7,11,0.38934433
7,27,0.3810178
7,45,0.1614031
7,79,0.19941689
7,85,0.5643748
7,92,0.16190971
7,107,0.8662512
7,108,0.37140372
7,110,0.13592343
7,132,0.24100764
7,153,0.52023894
7,179,0.47941142
7,201,0.41145518
8,8,1.0
8,14,0.7252542
8,84,0.1333856
8,88,0.36536434
8,151,0.57141596
8,185,0.99572307
8,186,0.117259055
9,9,1.0
9,43,0.38995913
9,82,0.22744906
9,104,0.12187034
9,146,0.21545726
10,10,1.0
10,31,0.53705895
10,122,0.1668666
10,156,0.8570146
10,176,0.42813042
11,11,1.0
11,46,0.19881007
11,55,0.62719375
11,92,0.86680955
11,106,0.34929243
11,108,0.198185
11,132,0.11526615
11,171,0.14136736
11,179,0.12973194
12,4,0.484031
12,12,1.0
12,15,0.38122058
12,17,0.40795115
12,33,0.17489836
12,80,0.666331
12,144,0.11969608
12,161,0.27771407
12,162,0.15056323
12,188,0.41608733
12,191,0.75295174
12,192,0.2903382
12,193,0.9361229
12,195,0.51949054
13,0,0.26093593
13,13,1.0
13,37,0.3854033
13,54,0.32551205
13,111,0.14645281
13,116,0.43837163
13,140,0.12237737
13,142,0.59056437
13,143,0.8769016
13,199,0.1301341
14,14,1.0
14,77,0.37769407
14,84,0.48345676
14,88,0.82643884
14,89,0.23596984
14,130,0.17092778
14,146,0.14649996
14,151,0.9676729
15,6,0.19214275
15,15,1.0
15,16,0.17352614
15,33,0.89181715
15,91,0.149014
15,93,0.46208453
15,136,0.20766354
15,138,0.29518434
15,144,0.79810935
16,5,0.11012548
16,6,0.14501294
16,16,1.0
16,23,0.15293358
16,30,0.6505544
16,38,0.6247071
16,48,0.32532525
16,64,0.119547665
16,65,0.15176916
16,91,0.1560706
16,93,0.15191436
16,101,0.36471212
16,133,0.21068032
16,134,0.124324396
16,136,0.11841923
16,138,0.16657308
16,165,0.1973278
16,166,0.9156498
16,196,0.9270501
17,4,0.106083035
17,12,0.43658623
17,17,1.0
17,80,0.93023705
17,154,0.117391974
17,157,0.21286502
17,160,0.13837677
17,161,0.52499545
17,162,0.33424896
17,188,0.6916314
17,191,0.24923939
17,193,0.4425073
17,195,0.8232176
18,18,1.0
18,35,0.99220675
18,189,0.2487168
19,19,1.0
19,20,0.33707148
19,22,0.5873476
19,39,0.90569377
19,57,0.82568437
19,68,0.16451144
19,74,0.6341853
19,96,0.20215346
19,103,0.10262337
19,119,0.5135777
19,175,0.36151624
20,19,0.6738117
20,20,1.0
20,22,0.9064865
20,32,0.7893118
20,39,0.41091526
20,57,0.32096645
20,74,0.18298057
20,96,0.5579053
20,119,0.12406063
20,127,0.18479535
20,155,0.11703341
20,206,0.24107432
21,18,0.47969776
21,21,1.0
21,35,0.408968
21,200,0.661267
22,19,0.41202542
22,20,0.9064865
22,22,1.0
22,32,0.52750796
22,39,0.20627646
22,57,0.14917319
22,96,0.31333932
22,206,0.10348899
23,23,1.0
23,124,0.1351968
23,165,0.9907531
23,174,0.6407393
24,24,1.0
24,53,0.52339804
24,58,0.16415252
24,62,0.3619396
24,95,0.14825173
24,114,0.13111477
24,125,0.2927679
24,168,0.72550863
24,169,0.9330189
24,171,0.2557725
24,173,0.3382695
25,25,1.0
25,56,0.10506626
25,120,0.92026347
25,123,0.10169205
25,129,0.30033273
25,139,0.7934
25,147,0.13546337
26,26,1.0
27,1,0.17942527
27,2,0.5831709
27,7,0.35833457
27,27,1.0
27,28,0.2617325
27,78,0.3560349
27,79,0.92069405
27,107,0.14401749
27,183,0.11055653
28,7,0.95091635
28,11,0.23940924
28,27,0.2331284
28,28,1.0
28,79,0.10724383
28,85,0.38217723
28,107,0.6948786
28,108,0.22595297
28,132,0.13417847
28,153,0.34418362
28,179,0.31026578
28,201,0.25632763
29,16,0.26761228
29,29,1.0
29,30,0.17069933
29,38,0.36491054
29,48,0.72522235
29,166,0.3896956
29,196,0.40621892
30,30,1.0
30,64,0.4924126
30,65,0.59776336
31,31,1.0
31,83,0.36954674
31,99,0.32107234
31,122,0.20403858
32,19,0.4695517
32,32,1.0
32,39,0.24600193
32,57,0.18108684
32,94,0.29599246
32,96,0.92592084
32,97,0.27497354
32,127,0.5164346
32,154,0.105714664
32,155,0.38412294
32,159,0.23680466
32,163,0.14347525
32,206,0.6072549
33,3,0.1198716
33,5,0.20515546
33,6,0.40872863
33,16,0.37899297
33,33,1.0
33,91,0.33813322
33,93,0.74688095
33,136,0.43268704
33,138,0.5559929
33,144,0.9815587
33,166,0.19336772
33,196,0.2042975
34,14,0.2857625
34,34,1.0
34,151,0.18427558
34,182,0.121024266
34,186,0.66596955
35,35,1.0
35,66,0.10307953
35,126,0.12180193
35,189,0.30404207
36,0,0.5190026
36,36,1.0
36,67,0.9210419
36,115,0.72684366
36,117,0.106897034
36,140,0.2485579
36,142,0.14847374
36,145,0.2538358
36,199,0.26128712
37,24,0.41250598
37,37,1.0
37,42,0.70867765
37,54,0.99314165
37,95,0.3977259
37,111,0.8456244
37,125,0.6238118
37,168,0.10305547
37,169,0.2344807
38,3,0.27717918
38,5,0.5278345
38,6,0.31814024
38,15,0.17690822
38,16,0.46778366
38,33,0.15883723
38,38,1.0
38,91,0.29171434
38,93,0.62397754
38,136,0.49266925
38,138,0.6529964
38,144,0.10764118
38,166,0.2552644
38,192,0.15384375
