src_FID,nbr_FID,weight
0,0,1.0
1,1,1.0
2,2,1.0
2,4,0.13655277
2,19,0.10542094
2,41,0.62643474
2,72,0.7928969
2,97,0.5657061
2,102,0.32379842
2,151,0.9921252
2,160,0.13988249
2,191,0.101292424
2,226,0.8556345
2,227,0.8465354
2,313,0.14962988
3,3,1.0
3,37,0.33129197
3,78,0.32850912
3,87,0.99334186
3,116,0.92026293
3,125,0.4493054
3,136,0.6529094
3,193,0.12009296
3,243,0.78192437
3,244,0.78470445
4,2,0.6148081
4,4,1.0
4,19,0.99209106
4,41,0.14838055
4,72,0.24900542
4,97,0.12139255
4,151,0.5388634
4,158,0.95486844
4,170,0.13412093
4,171,0.13277131
4,202,0.6467343
4,204,0.45922524
4,206,0.2955097
4,207,0.171978
4,226,0.30332002
4,227,0.29457328
4,254,0.7996574
5,5,1.0
5,21,0.4190358
5,52,0.17562304
5,66,0.9918698
5,98,0.11682427
5,104,0.51153326
6,4,0.23919003
6,6,1.0
6,19,0.19185354
6,20,0.90504897
6,97,0.43852088
6,102,0.22846235
6,158,0.13668051
6,160,0.39125785
6,191,0.13697907
7,7,1.0
7,74,0.1485504
7,83,0.18348643
8,8,1.0
8,43,0.94481
8,88,0.69700074
9,9,1.0
9,26,0.38897875
9,31,0.85192144
9,55,0.99288124
9,82,0.44463006
9,121,0.82684994
9,131,0.21610133
9,186,0.12188019
9,219,0.9459241
10,10,1.0
10,115,0.9963839
11,11,1.0
11,48,0.30644065
11,60,0.73687047
11,91,0.9983905
11,113,0.79093176
11,173,0.21403927
11,252,0.39421538
12,12,1.0
12,74,0.7442022
12,83,0.80568624
13,13,1.0
13,153,0.9064345
13,154,0.8535948
13,202,0.400415
13,204,0.58288205
13,206,0.76883274
13,207,0.9193079
13,209,0.98258185
13,319,0.9612826
14,14,1.0
14,45,0.64704096
14,80,0.11654084
14,93,0.5664846
14,251,0.35025528
15,15,1.0
15,33,0.21874233
15,81,0.9671842
15,85,0.40476397
15,114,0.5467389
15,123,0.15891413
15,144,0.78551507
15,240,0.5029683
16,10,0.17119767
16,16,1.0
16,46,0.38943824
16,50,0.9956003
16,115,0.14542468
17,17,1.0
17,23,0.23953798
17,49,0.8490665
17,120,0.80475456
17,138,0.20591009
17,320,0.124927185
18,18,1.0
18,24,0.46510205
18,56,0.89626336
18,126,0.93964314
18,175,0.31777057
18,176,0.14834659
18,215,0.81841654
19,2,0.6905352
19,4,0.40531704
19,19,1.0
19,41,0.1882279
19,72,0.30469447
19,97,0.15593429
19,151,0.6149028
19,158,0.98426014
19,170,0.17122284
19,171,0.16960737
19,191,0.10665824
19,202,0.72159135
19,204,0.53301764
19,206,0.3568073
19,207,0.21605703
19,226,0.36546475
19,227,0.35576752
19,254,0.8629727
20,4,0.4606583
20,19,0.39083922
20,20,1.0
20,97,0.42925626
20,102,0.2220363
20,158,0.30143833
20,160,0.6528152
20,190,0.104767345
20,191,0.20076388
20,254,0.16031168
21,21,1.0
21,52,0.8614321
21,67,0.20770286
21,69,0.43378007
21,94,0.14958431
21,98,0.75296986
21,112,0.31677523
22,22,1.0
22,75,0.27599144
22,287,0.38981444
22,299,0.19596948
22,300,0.10569201
22,305,0.13019514
22,309,0.4108234
23,14,0.45395446
23,23,1.0
23,30,0.65945053
23,64,0.8052516
23,138,0.9962028
24,24,1.0
24,175,0.962404
24,176,0.7730035
24,212,0.58669186
25,25,1.0
25,107,0.99555635
25,187,0.762604
25,188,0.54918075
25,189,0.13449943
25,220,0.93772566
25,222,0.80723596
25,247,0.24997988
26,2,0.2544442
26,4,0.10175049
26,18,0.17162524
26,26,1.0
