src_FID,nbr_FID
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
1,0
1,2
1,3
1,4
1,5
1,13
1,14
1,15
1,16
1,17
1,18
2,0
2,1
2,3
2,4
2,5
2,19
2,20
2,21
2,22
2,23
2,24
2,25
3,0
3,1
3,2
3,4
3,5
3,26
3,27
3,28
3,29
3,30
3,31
3,32
4,0
4,1
4,2
4,3
4,5
4,33
4,34
4,35
4,36
4,37
4,38
4,39
5,0
5,1
5,2
5,3
5,4
5,40
5,41
5,42
5,43
5,44
5,45
6,0
6,1
6,2
6,3
6,4
6,5
6,7
6,8
6,9
6,10
6,11
6,12
7,6
7,8
7,9
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,18
8,6
8,7
8,9
8,10
8,11
8,12
8,19
8,20
8,21
8,22
8,23
8,24
8,25
9,6
9,7
9,8
9,10
9,11
9,12
9,26
9,27
9,28
9,29
9,30
9,31
9,32
10,6
10,7
10,8
10,9
10,11
10,12
10,33
10,34
10,35
10,36
10,37
10,38
10,39
11,6
11,7
11,8
11,9
11,10
11,12
11,40
11,41
11,42
11,43
11,44
11,45
12,6
12,7
12,8
12,9
12,10
12,11
12,46
13,0
13,1
13,2
13,3
13,4
13,5
13,14
13,15
13,16
13,17
13,18
14,6
14,7
14,8
14,9
14,10
14,11
14,12
14,13
14,15
14,16
14,17
14,18
15,13
15,14
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
16,13
16,14
16,15
16,17
16,18
16,26
16,27
16,28
16,29
16,30
16,31
16,32
17,13
17,14
17,15
17,16
17,18
17,33
17,34
17,35
17,36
17,37
17,38
17,39
18,13
18,14
18,15
18,16
18,17
18,40
18,41
18,42
18,43
18,44
18,45
19,0
19,1
19,2
19,3
19,4
19,5
19,20
19,21
19,22
19,23
19,24
19,25
20,6
20,7
20,8
20,9
20,10
20,11
20,12
20,19
20,21
20,22
20,23
20,24
20,25
21,13
21,14
21,15
21,16
21,17
21,18
21,19
21,20
21,22
21,23
21,24
21,25
22,19
22,20
22,21
22,23
22,24
22,25
22,26
22,27
22,28
22,29
22,30
22,31
22,32
23,19
23,20
23,21
23,22
23,24
23,25
23,33
23,34
23,35
23,36
23,37
23,38
23,39
24,19
24,20
24,21
24,22
24,23
24,25
24,40
24,41
24,42
24,43
24,44
24,45
25,19
25,20
25,21
25,22
25,23
25,24
25,46
26,0
26,1
26,2
26,3
26,4
26,5
26,27
26,28
26,29
26,30
26,31
26,32
27,6
27,7
27,8
27,9
27,10
27,11
27,12
27,26
27,28
27,29
27,30
27,31
27,32
28,13
28,14
28,15
28,16
28,17
28,18
28,26
28,27
28,29
28,30
28,31
28,32
29,19
29,20
29,21
29,22
29,23
29,24
29,25
29,26
29,27
29,28
29,30
29,31
29,32
30,26
30,27
30,28
30,29
30,31
30,32
30,33
30,34
30,35
30,36
30,37
30,38
30,39
31,26
31,27
31,28
31,29
31,30
31,32
31,40
31,41
31,42
31,43
31,44
31,45
32,26
32,27
32,28
32,29
32,30
32,31
32,46
33,0
33,1
33,2
33,3
33,4
33,5
33,34
33,35
33,36
33,37
33,38
33,39
34,6
34,7
34,8
34,9
34,10
34,11
34,12
34,33
34,35
34,36
34,37
34,38
34,39
35,13
35,14
35,15
35,16
35,17
35,18
35,33
35,34
35,36
35,37
35,38
35,39
36,19
36,20
36,21
36,22
36,23
36,24
36,25
36,33
36,34
36,35
36,37
36,38
36,39
37,26
37,27
37,28
37,29
37,30
37,31
37,32
37,33
37,34
37,35
37,36
37,38
37,39
38,33
38,34
38,35
38,36
38,37
38,39
38,40
38,41
38,42
38,43
38,44
38,45
39,33
39,34
39,35
39,36
39,37
39,38
39,46
40,0
40,1
40,2
40,3
40,4
40,5
40,41
40,42
40,43
40,44
40,45
41,6
41,7
41,8
41,9
41,10
41,11
41,12
41,40
41,42
41,43
41,44
41,45
42,13
42,14
42,15
42,16
42,17
42,18
42,40
42,41
42,43
42,44
42,45
43,19
43,20
43,21
43,22
43,23
43,24
43,25
43,40
43,41
43,42
43,44
43,45
44,26
44,27
44,28
44,29
44,30
44,31
44,32
44,40
44,41
44,42
44,43
44,45
45,33
45,34
45,35
45,36
45,37
45,38
45,39
45,40
45,41
45,42
45,43
45,44
46,40
46,41
46,42
46,43
46,44
46,45
