qidian,zhongdian,tian,xiaoshi,avg_sudu,cheliuliang
78000F,2002,2021/6/1,0,96.33,7
78000F,2002,2021/6/1,1,100.673,6
78000F,2002,2021/6/1,2,100.869,3
78000F,2002,2021/6/1,3,116.92,2
78000F,2002,2021/6/1,4,100.742,6
78000F,2002,2021/6/1,5,106.133,11
78000F,2002,2021/6/1,6,99.507,35
78000F,2002,2021/6/1,7,101.902,42
78000F,2002,2021/6/1,8,101.348,67
78000F,2002,2021/6/1,9,98.513,60
78000F,2002,2021/6/1,10,100.98,56
78000F,2002,2021/6/1,11,100.693,67
78000F,2002,2021/6/1,12,94.535,54
78000F,2002,2021/6/1,13,95.117,64
78000F,2002,2021/6/1,14,94.396,65
78000F,2002,2021/6/1,15,96.558,91
78000F,2002,2021/6/1,16,92.216,59
78000F,2002,2021/6/1,17,99.173,101
78000F,2002,2021/6/1,18,103.864,114
78000F,2002,2021/6/1,19,101.33,94
78000F,2002,2021/6/1,20,99.512,59
78000F,2002,2021/6/1,21,101.182,33
78000F,2002,2021/6/1,22,96.187,34
78000F,2002,2021/6/1,23,101.72,11
78000F,2002,2021/6/2,0,83.952,8
78000F,2002,2021/6/2,1,97.173,5
78000F,2002,2021/6/2,2,98.923,5
78000F,2002,2021/6/2,3,90.977,4
78000F,2002,2021/6/2,4,104.064,3
78000F,2002,2021/6/2,5,105.002,6
78000F,2002,2021/6/2,6,101.847,17
78000F,2002,2021/6/2,7,101.058,56
78000F,2002,2021/6/2,8,97.732,59
78000F,2002,2021/6/2,9,102.597,67
78000F,2002,2021/6/2,10,98.338,73
78000F,2002,2021/6/2,11,100.834,64
78000F,2002,2021/6/2,12,98.979,52
78000F,2002,2021/6/2,13,96.093,62
78000F,2002,2021/6/2,14,99.469,69
78000F,2002,2021/6/2,15,99.639,68
78000F,2002,2021/6/2,16,99.455,73
78000F,2002,2021/6/2,17,100.666,93
78000F,2002,2021/6/2,18,101.829,107
78000F,2002,2021/6/2,19,102.729,86
78000F,2002,2021/6/2,20,99.246,50
78000F,2002,2021/6/2,21,96.931,27
78000F,2002,2021/6/2,22,99.93,24
78000F,2002,2021/6/2,23,108.949,12
78000F,2002,2021/6/3,0,92.644,4
78000F,2002,2021/6/3,1,89.793,6
78000F,2002,2021/6/3,2,80.48,3
78000F,2002,2021/6/3,3,99.553,3
78000F,2002,2021/6/3,4,94.866,7
78000F,2002,2021/6/3,5,113.848,6
78000F,2002,2021/6/3,6,95.343,21
78000F,2002,2021/6/3,7,99.105,53
78000F,2002,2021/6/3,8,101.262,68
78000F,2002,2021/6/3,9,98.832,51
78000F,2002,2021/6/3,10,96.974,67
78000F,2002,2021/6/3,11,93.183,68
78000F,2002,2021/6/3,12,101.021,56
78000F,2002,2021/6/3,13,93.762,70
78000F,2002,2021/6/3,14,102.59,67
78000F,2002,2021/6/3,15,96.358,70
78000F,2002,2021/6/3,16,103.082,86
78000F,2002,2021/6/3,17,103.314,87
78000F,2002,2021/6/3,18,101.145,93
78000F,2002,2021/6/3,19,103.158,85
78000F,2002,2021/6/3,20,95.975,50
78000F,2002,2021/6/3,21,97.764,34
78000F,2002,2021/6/3,22,102.684,28
78000F,2002,2021/6/3,23,92.963,16
78000F,2002,2021/6/4,0,91.698,9
78000F,2002,2021/6/4,1,90.655,3
78000F,2002,2021/6/4,2,96.444,6
78000F,2002,2021/6/4,3,99.216,5
78000F,2002,2021/6/4,4,95.828,1
78000F,2002,2021/6/4,5,87.996,2
78000F,2002,2021/6/4,6,99.233,21
78000F,2002,2021/6/4,7,101.499,40
78000F,2002,2021/6/4,8,102.606,57
78000F,2002,2021/6/4,9,103.843,66
78000F,2002,2021/6/4,10,96.938,81
78000F,2002,2021/6/4,11,99.24,73
78000F,2002,2021/6/4,12,102.437,60
78000F,2002,2021/6/4,13,99.715,104
78000F,2002,2021/6/4,14,93.601,92
78000F,2002,2021/6/4,15,97.748,89
78000F,2002,2021/6/4,16,98.371,122
78000F,2002,2021/6/4,17,103.769,132
78000F,2002,2021/6/4,18,102.181,222
78000F,2002,2021/6/4,19,103.972,153
78000F,2002,2021/6/4,20,98.081,72
78000F,2002,2021/6/4,21,96.689,42
78000F,2002,2021/6/4,22,102.934,28
78000F,2002,2021/6/4,23,103.824,18
78000F,2002,2021/6/5,0,89.529,15
78000F,2002,2021/6/5,1,101.634,3
78000F,2002,2021/6/5,2,94.581,12
78000F,2002,2021/6/5,3,100.559,6
78000F,2002,2021/6/5,4,101.182,4
78000F,2002,2021/6/5,5,87.15,4
78000F,2002,2021/6/5,6,101.347,34
78000F,2002,2021/6/5,7,97.186,58
78000F,2002,2021/6/5,8,100.985,64
78000F,2002,2021/6/5,9,104.215,98
78000F,2002,2021/6/5,10,101.02,104
78000F,2002,2021/6/5,11,100.832,103
78000F,2002,2021/6/5,12,100.164,67
78000F,2002,2021/6/5,13,99.107,111
78000F,2002,2021/6/5,14,97.911,102
78000F,2002,2021/6/5,15,96.936,85
78000F,2002,2021/6/5,16,98.63,98
78000F,2002,2021/6/5,17,99.585,114
78000F,2002,2021/6/5,18,98.244,132
78000F,2002,2021/6/5,19,99.788,107
78000F,2002,2021/6/5,20,100.436,77
78000F,2002,2021/6/5,21,97.14,54
78000F,2002,2021/6/5,22,94.431,31
78000F,2002,2021/6/5,23,88.83,16
78000F,2002,2021/6/6,0,96.236,8
78000F,2002,2021/6/6,1,96.415,6
78000F,2002,2021/6/6,2,95.904,3
78000F,2002,2021/6/6,3,84.184,4
78000F,2002,2021/6/6,4,101.224,5
78000F,2002,2021/6/6,5,105.226,7
78000F,2002,2021/6/6,6,102.243,28
78000F,2002,2021/6/6,7,102.242,59
78000F,2002,2021/6/6,8,101.593,78
78000F,2002,2021/6/6,9,104.058,85
78000F,2002,2021/6/6,10,99.399,93
78000F,2002,2021/6/6,11,99.661,99
78000F,2002,2021/6/6,12,104.489,58
78000F,2002,2021/6/6,13,102.645,97
78000F,2002,2021/6/6,14,100.217,100
78000F,2002,2021/6/6,15,101.198,100
78000F,2002,2021/6/6,16,101.134,122
78000F,2002,2021/6/6,17,99.892,134
78000F,2002,2021/6/6,18,100.811,117
78000F,2002,2021/6/6,19,102.339,92
78000F,2002,2021/6/6,20,99.293,63
78000F,2002,2021/6/6,21,96.992,54
78000F,2002,2021/6/6,22,100.512,16
78000F,2002,2021/6/6,23,98.756,11
78000F,2002,2021/6/7,0,89.209,11
78000F,2002,2021/6/7,1,94.977,10
78000F,2002,2021/6/7,2,90.997,7
78000F,2002,2021/6/7,3,104.241,1
78000F,2002,2021/6/7,4,105.039,2
78000F,2002,2021/6/7,5,101.202,6
78000F,2002,2021/6/7,6,103.86,35
78000F,2002,2021/6/7,7,101.764,76
78000F,2002,2021/6/7,8,101.928,59
78000F,2002,2021/6/7,9,98.965,61
78000F,2002,2021/6/7,10,100.454,83
78000F,2002,2021/6/7,11,105.061,48
78000F,2002,2021/6/7,12,99.879,70
78000F,2002,2021/6/7,13,101.732,69
78000F,2002,2021/6/7,14,102.839,70
78000F,2002,2021/6/7,15,103.131,87
78000F,2002,2021/6/7,16,98.536,88
78000F,2002,2021/6/7,17,101.232,90
78000F,2002,2021/6/7,18,101.53,118
78000F,2002,2021/6/7,19,100.784,71
78000F,2002,2021/6/7,20,93.642,61
78000F,2002,2021/6/7,21,95.021,45
78000F,2002,2021/6/7,22,103.477,23
78000F,2002,2021/6/7,23,94.37,9
78000F,2002,2021/6/8,0,85.339,11
78000F,2002,2021/6/8,1,88.437,3
78000F,2002,2021/6/8,2,96.208,3
78000F,2002,2021/6/8,3,109.521,2
78000F,2002,2021/6/8,4,74.663,1
78000F,2002,2021/6/8,5,96.413,3
78000F,2002,2021/6/8,6,104.222,15
78000F,2002,2021/6/8,7,101.23,45
78000F,2002,2021/6/8,8,101.93,54
78000F,2002,2021/6/8,9,104.555,66
78000F,2002,2021/6/8,10,100.147,65
78000F,2002,2021/6/8,11,99.318,64
78000F,2002,2021/6/8,12,98.793,69
78000F,2002,2021/6/8,13,99.623,76
78000F,2002,2021/6/8,14,100.252,68
