qidian,zhongdian,tian,xiaoshi,avg_sudu,cheliuliang
101001,78001D,2021/6/13,9,6.798,4
101001,78001D,2021/6/13,10,84.18,276
101001,78001D,2021/6/13,11,82.574,259
101001,78001D,2021/6/13,12,88.967,191
101001,78001D,2021/6/13,13,88.195,220
101001,78001D,2021/6/13,14,83.648,256
101001,78001D,2021/6/13,15,82.957,244
101001,78001D,2021/6/13,16,87.302,277
101001,78001D,2021/6/13,17,82.863,233
101001,78001D,2021/6/13,18,84.5,267
101001,78001D,2021/6/13,19,83.417,220
101001,78001D,2021/6/13,20,87.693,141
101001,78001D,2021/6/13,21,84.476,115
101001,78001D,2021/6/13,22,91.381,49
101001,78001D,2021/6/13,23,91.88,33
101001,78001D,2021/6/14,0,78.669,22
101001,78001D,2021/6/14,1,77.837,19
101001,78001D,2021/6/14,2,68.784,11
101001,78001D,2021/6/14,3,90.423,11
101001,78001D,2021/6/14,4,85.901,15
101001,78001D,2021/6/14,5,72.971,21
101001,78001D,2021/6/14,6,82.913,90
101001,78001D,2021/6/14,7,78.147,166
101001,78001D,2021/6/14,8,80.383,220
101001,78001D,2021/6/14,9,78.115,257
101001,78001D,2021/6/14,10,84.119,253
101001,78001D,2021/6/14,11,84.808,260
101001,78001D,2021/6/14,12,81.64,198
101001,78001D,2021/6/14,13,81.006,231
101001,78001D,2021/6/14,14,83.168,287
101001,78001D,2021/6/14,15,86.646,261
101001,78001D,2021/6/14,16,83.616,282
101001,78001D,2021/6/14,17,86.684,238
101001,78001D,2021/6/14,18,87.756,255
101001,78001D,2021/6/14,19,81.817,230
101001,78001D,2021/6/14,20,89.456,127
101001,78001D,2021/6/14,21,87.362,119
101001,78001D,2021/6/14,22,87.357,55
101001,78001D,2021/6/14,23,80.802,31
101001,78001D,2021/6/15,0,92.314,18
101001,78001D,2021/6/15,1,74.959,15
101001,78001D,2021/6/15,2,84.574,11
101001,78001D,2021/6/15,3,73.185,12
101001,78001D,2021/6/15,4,82.351,11
101001,78001D,2021/6/15,5,80.094,33
