src_FID,nbr_FID
0,35
0,85
1,46
1,47
1,48
2,55
2,96
3,36
4,56
4,57
4,97
5,44
5,89
6,51
6,92
7,74
7,75
7,76
9,77
9,78
9,106
10,45
10,90
11,68
11,69
11,102
13,70
13,103
14,29
14,30
17,59
17,60
18,33
18,34
18,84
19,54
19,94
19,95
20,32
20,83
21,53
21,93
22,32
22,83
23,53
23,93
24,39
24,88
25,62
26,40
26,41
26,42
27,63
27,100
28,29
28,30
29,14
29,28
29,31
29,81
29,82
30,14
30,28
30,38
30,87
31,29
31,32
31,83
32,20
32,22
32,31
32,33
32,34
32,84
33,18
33,32
33,35
33,85
34,18
34,32
34,46
34,47
34,48
35,0
35,33
35,36
35,72
36,3
36,35
36,37
36,86
37,36
37,43
38,30
38,39
38,88
39,24
39,38
39,40
39,41
39,42
40,26
40,39
40,43
41,26
41,39
41,49
41,50
41,91
42,26
42,39
42,72
42,73
42,105
43,37
43,40
43,46
43,74
43,86
44,5
44,45
44,49
44,77
44,90
45,10
45,44
46,1
46,34
46,43
46,56
47,1
47,34
47,49
47,50
47,56
47,91
48,1
48,34
48,56
48,64
48,101
49,41
49,44
49,47
49,65
49,89
50,41
50,47
50,51
50,65
50,92
51,6
51,50
51,68
52,53
52,62
53,21
53,23
53,52
53,54
54,19
54,53
54,55
54,93
55,2
55,54
55,57
55,73
55,94
55,95
56,4
56,46
56,47
56,48
56,58
57,4
57,55
57,58
57,96
58,56
58,57
58,59
58,97
59,17
59,58
59,61
59,98
60,17
60,61
60,65
60,66
60,67
61,59
61,60
62,25
62,52
62,63
63,27
63,62
63,64
64,48
64,63
64,66
64,75
64,100
65,49
65,50
65,60
65,91
66,60
66,64
66,101
67,60
67,72
67,73
67,105
68,11
68,51
68,70
68,92
69,11
69,70
69,74
69,75
69,76
70,13
70,68
70,69
70,71
70,102
71,70
71,103
72,35
72,42
72,67
72,76
72,85
73,42
73,55
73,67
73,76
73,96
74,7
74,43
74,69
74,78
75,7
75,64
75,69
75,78
75,101
76,7
76,69
76,72
76,73
76,78
76,105
77,9
77,44
77,79
77,89
78,9
78,74
78,75
78,76
78,79
79,77
79,78
79,106
81,29
82,29
83,31
83,20
83,22
84,32
84,18
85,33
85,72
85,0
86,36
86,43
87,30
88,38
88,24
89,49
89,77
89,5
90,44
90,10
91,41
91,47
91,65
92,50
92,68
92,6
93,54
93,21
93,23
94,55
94,19
95,55
95,19
96,57
96,73
96,2
97,58
97,4
98,59
100,64
100,27
101,48
101,66
101,75
102,70
102,11
103,71
103,13
105,42
105,67
105,76
106,79
106,9
