出口站点,日期,小时,分钟,车流量
2002,2021/5/6,6,30,1
2002,2021/5/6,7,10,1
2002,2021/5/6,7,25,1
2002,2021/5/6,7,30,1
2002,2021/5/6,7,35,1
2002,2021/5/6,7,40,4
2002,2021/5/6,7,45,1
2002,2021/5/6,8,0,2
2002,2021/5/6,8,15,1
2002,2021/5/6,8,45,1
2002,2021/5/6,8,50,1
2002,2021/5/6,9,30,1
2002,2021/5/6,9,40,1
2002,2021/5/6,9,45,1
2002,2021/5/6,9,55,1
2002,2021/5/6,10,5,2
2002,2021/5/6,10,10,1
2002,2021/5/6,10,15,1
2002,2021/5/6,10,25,2
2002,2021/5/6,10,30,1
2002,2021/5/6,10,55,1
2002,2021/5/6,11,15,1
2002,2021/5/6,11,55,1
2002,2021/5/6,12,20,1
2002,2021/5/6,12,55,1
2002,2021/5/6,13,10,1
2002,2021/5/6,13,15,1
2002,2021/5/6,13,25,1
2002,2021/5/6,13,35,1
2002,2021/5/6,13,40,1
2002,2021/5/6,14,0,1
2002,2021/5/6,14,10,1
2002,2021/5/6,14,15,1
2002,2021/5/6,14,20,1
2002,2021/5/6,14,45,2
2002,2021/5/6,15,5,2
2002,2021/5/6,15,25,2
2002,2021/5/6,15,45,1
2002,2021/5/6,15,55,1
2002,2021/5/6,16,0,2
2002,2021/5/6,16,25,1
2002,2021/5/6,17,5,1
2002,2021/5/6,17,25,1
2002,2021/5/6,17,30,1
2002,2021/5/6,18,10,1
2002,2021/5/6,18,20,1
2002,2021/5/6,18,30,2
2002,2021/5/6,19,55,1
2002,2021/5/6,20,15,1
2002,2021/5/6,20,35,1
2002,2021/5/6,20,40,1
2002,2021/5/6,21,45,1
2002,2021/5/6,23,20,1
2002,2021/5/6,23,45,1
2002,2021/5/7,3,55,1
2002,2021/5/7,6,0,1
2002,2021/5/7,6,5,1
2002,2021/5/7,6,50,1
2002,2021/5/7,7,0,1
2002,2021/5/7,7,5,2
2002,2021/5/7,7,20,1
2002,2021/5/7,7,35,2
2002,2021/5/7,7,40,3
2002,2021/5/7,7,45,1
2002,2021/5/7,7,50,1
2002,2021/5/7,7,55,1
2002,2021/5/7,8,20,1
2002,2021/5/7,8,25,1
2002,2021/5/7,8,30,1
2002,2021/5/7,8,35,1
