src_FID,nbr_FID
0,6
0,13
0,19
0,26
0,33
0,40
1,6
1,13
1,19
1,26
1,33
1,40
2,6
2,13
2,19
2,26
2,33
2,40
3,6
3,13
3,19
3,26
3,33
3,40
4,6
4,13
4,19
4,26
4,33
4,40
5,6
5,13
5,19
5,26
5,33
5,40
6,0
6,14
6,20
6,27
6,34
6,41
6,46
7,0
7,14
7,20
7,27
7,34
7,41
7,46
8,0
8,14
8,20
8,27
8,34
8,41
8,46
9,0
9,14
9,20
9,27
9,34
9,41
9,46
10,0
10,14
10,20
10,27
10,34
10,41
10,46
11,0
11,14
11,20
11,27
11,34
11,41
11,46
12,0
12,14
12,20
12,27
12,34
12,41
12,46
13,1
13,7
13,21
13,28
13,35
13,42
14,1
14,7
14,21
14,28
14,35
14,42
15,1
15,7
15,21
15,28
15,35
15,42
16,1
16,7
16,21
16,28
16,35
16,42
17,1
17,7
17,21
17,28
17,35
17,42
18,1
18,7
18,21
18,28
18,35
18,42
19,2
19,8
19,15
19,29
19,36
19,43
19,47
20,2
20,8
20,15
20,29
20,36
20,43
20,47
21,2
21,8
21,15
21,29
21,36
21,43
21,47
22,2
22,8
22,15
22,29
22,36
22,43
22,47
23,2
23,8
23,15
23,29
23,36
23,43
23,47
24,2
24,8
24,15
24,29
24,36
24,43
24,47
25,2
25,8
25,15
25,29
25,36
25,43
25,47
26,3
26,9
26,16
26,22
26,37
26,44
27,3
27,9
27,16
27,22
27,37
27,44
28,3
28,9
28,16
28,22
28,37
28,44
29,3
29,9
29,16
29,22
29,37
29,44
30,3
30,9
30,16
30,22
30,37
30,44
31,3
31,9
31,16
31,22
31,37
31,44
32,3
32,9
32,16
32,22
32,37
32,44
33,4
33,10
33,17
33,23
33,30
33,45
34,4
34,10
34,17
34,23
34,30
34,45
35,4
35,10
35,17
35,23
35,30
35,45
36,4
36,10
36,17
36,23
36,30
36,45
37,4
37,10
37,17
37,23
37,30
37,45
38,4
38,10
38,17
38,23
38,30
38,45
39,4
39,10
39,17
39,23
39,30
39,45
40,5
40,11
40,18
40,24
40,31
40,38
40,48
41,5
41,11
41,18
41,24
41,31
41,38
41,48
42,5
42,11
42,18
42,24
42,31
42,38
42,48
43,5
43,11
43,18
43,24
43,31
43,38
43,48
44,5
44,11
44,18
44,24
44,31
44,38
44,48
45,5
45,11
45,18
45,24
45,31
45,38
45,48
46,12
46,25
46,32
46,39
47,12
47,25
47,32
47,39
48,12
48,25
48,32
48,39
