Time,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
2020-01-01 00:00:00,74.0,44.0,28.0,97.0,57.0,43.0,28.0,78.0,48.0,11.0,47.0,14.0,37.0,2.2,1.2
2020-01-01 01:00:00,82.0,49.0,30.0,113.0,61.0,29.0,29.0,76.0,49.0,12.0,47.0,12.0,12.0,2.4,1.3
2020-01-01 02:00:00,132.0,57.0,31.0,214.0,68.0,30.0,28.0,76.0,50.0,11.0,47.0,12.0,12.0,2.4,1.4
2020-01-01 03:00:00,102.0,58.0,33.0,154.0,73.0,40.0,29.0,67.0,51.0,10.0,47.0,11.0,12.0,2.7,1.5
2020-01-01 04:00:00,94.0,70.0,35.0,136.0,77.0,45.0,30.0,65.0,52.0,10.0,47.0,11.0,12.0,2.5,1.6
2020-01-01 05:00:00,101.0,58.0,36.0,152.0,82.0,51.0,32.0,59.0,53.0,10.0,47.0,11.0,12.0,2.1,1.6
2020-01-01 06:00:00,80.0,50.0,38.0,109.0,85.0,53.0,34.0,54.0,53.0,11.0,47.0,11.0,12.0,2.4,1.7
2020-01-01 07:00:00,88.0,49.0,38.0,126.0,89.0,53.0,36.0,52.0,54.0,11.0,47.0,11.0,12.0,2.3,1.8
2020-01-01 08:00:00,84.0,53.0,40.0,117.0,93.0,54.0,37.0,54.0,55.0,10.0,47.0,11.0,12.0,2.2,1.8
2020-01-01 09:00:00,75.0,55.0,41.0,96.0,95.0,78.0,40.0,55.0,55.0,13.0,47.0,11.0,12.0,3.0,1.9
2020-01-01 10:00:00,95.0,68.0,43.0,140.0,100.0,78.0,41.0,53.0,56.0,16.0,47.0,11.0,12.0,3.0,1.9
2020-01-01 11:00:00,108.0,81.0,45.0,147.0,105.0,79.0,43.0,51.0,57.0,18.0,47.0,12.0,12.0,2.7,1.9
2020-01-01 12:00:00,95.0,69.0,47.0,140.0,109.0,84.0,44.0,52.0,58.0,24.0,47.0,14.0,14.0,3.6,2.0
2020-01-01 13:00:00,127.0,96.0,49.0,160.0,114.0,54.0,45.0,49.0,59.0,28.0,47.0,16.0,16.0,2.5,2.1
2020-01-01 14:00:00,93.0,69.0,51.0,116.0,114.0,52.0,46.0,44.0,60.0,32.0,47.0,19.0,19.0,1.9,2.1
2020-01-01 15:00:00,65.0,40.0,51.0,79.0,114.0,61.0,48.0,49.0,60.0,31.0,42.0,22.0,22.0,2.1,2.2
2020-01-01 16:00:00,92.0,68.0,53.0,109.0,116.0,61.0,49.0,54.0,61.0,34.0,36.0,24.0,24.0,2.4,2.2
2020-01-01 17:00:00,97.0,72.0,55.0,128.0,118.0,61.0,50.0,69.0,62.0,35.0,35.0,27.0,27.0,3.1,2.3
2020-01-01 18:00:00,127.0,96.0,58.0,154.0,122.0,60.0,52.0,88.0,63.0,21.0,35.0,28.0,28.0,3.9,2.4
2020-01-01 19:00:00,144.0,110.0,61.0,169.0,125.0,64.0,54.0,96.0,64.0,12.0,35.0,27.0,28.0,3.5,2.5
2020-01-01 20:00:00,159.0,121.0,64.0,177.0,129.0,92.0,57.0,93.0,65.0,13.0,35.0,26.0,28.0,3.8,2.6
2020-01-01 21:00:00,137.0,104.0,67.0,147.0,132.0,62.0,57.0,90.0,66.0,11.0,35.0,24.0,28.0,2.7,2.6
2020-01-01 22:00:00,89.0,66.0,68.0,121.0,133.0,51.0,57.0,91.0,66.0,10.0,35.0,21.0,28.0,2.0,2.6
2020-01-01 23:00:00,84.0,62.0,69.0,102.0,133.0,48.0,58.0,83.0,67.0,11.0,35.0,18.0,28.0,2.5,2.7
2020-01-02 00:00:00,92.0,68.0,70.0,105.0,134.0,50.0,58.0,84.0,67.0,12.0,35.0,16.0,28.0,3.1,2.7
2020-01-02 01:00:00,95.0,71.0,71.0,130.0,134.0,60.0,59.0,87.0,67.0,12.0,35.0,12.0,12.0,4.5,2.8
2020-01-02 02:00:00,159.0,121.0,74.0,187.0,133.0,74.0,61.0,87.0,68.0,12.0,35.0,12.0,12.0,4.4,2.9
2020-01-02 03:00:00,159.0,121.0,77.0,198.0,135.0,81.0,63.0,87.0,69.0,16.0,35.0,13.0,13.0,5.5,3.0
2020-01-02 04:00:00,209.0,159.0,80.0,233.0,139.0,82.0,64.0,83.0,69.0,16.0,35.0,14.0,14.0,5.9,3.1
2020-01-02 05:00:00,212.0,162.0,85.0,268.0,144.0,64.0,65.0,78.0,70.0,14.0,35.0,14.0,14.0,5.2,3.3
2020-01-02 06:00:00,190.0,143.0,88.0,215.0,148.0,53.0,65.0,78.0,71.0,14.0,35.0,14.0,14.0,5.4,3.4
2020-01-02 07:00:00,200.0,150.0,93.0,242.0,153.0,38.0,64.0,70.0,72.0,12.0,35.0,14.0,14.0,5.1,3.5
2020-01-02 08:00:00,179.0,135.0,96.0,221.0,158.0,37.0,64.0,70.0,73.0,13.0,35.0,14.0,14.0,4.8,3.6
2020-01-02 09:00:00,166.0,126.0,99.0,198.0,162.0,36.0,62.0,70.0,73.0,14.0,35.0,14.0,14.0,4.9,3.7
2020-01-02 10:00:00,170.0,129.0,102.0,216.0,165.0,34.0,60.0,65.0,74.0,12.0,35.0,14.0,14.0,3.9,3.7
2020-01-02 11:00:00,144.0,110.0,103.0,184.0,167.0,30.0,58.0,60.0,74.0,12.0,35.0,13.0,14.0,3.3,3.8
2020-01-02 12:00:00,128.0,97.0,104.0,156.0,167.0,36.0,56.0,60.0,74.0,14.0,35.0,13.0,14.0,3.1,3.7
2020-01-02 13:00:00,122.0,92.0,104.0,161.0,167.0,43.0,55.0,59.0,75.0,21.0,35.0,14.0,14.0,2.7,3.7
2020-01-02 14:00:00,108.0,81.0,104.0,133.0,168.0,42.0,55.0,56.0,75.0,30.0,35.0,16.0,16.0,2.4,3.8
2020-01-02 15:00:00,94.0,70.0,106.0,127.0,170.0,48.0,54.0,54.0,76.0,38.0,38.0,19.0,19.0,2.4,3.8
2020-01-02 16:00:00,112.0,84.0,106.0,128.0,171.0,52.0,54.0,56.0,76.0,40.0,40.0,23.0,23.0,2.4,3.8
2020-01-02 17:00:00,115.0,87.0,107.0,129.0,171.0,43.0,53.0,53.0,75.0,44.0,44.0,26.0,26.0,2.1,3.7
2020-01-02 18:00:00,103.0,77.0,106.0,122.0,170.0,38.0,52.0,66.0,74.0,27.0,44.0,28.0,28.0,2.1,3.7
2020-01-02 19:00:00,94.0,70.0,104.0,121.0,168.0,36.0,51.0,82.0,73.0,13.0,44.0,28.0,28.0,2.3,3.6
2020-01-02 20:00:00,109.0,82.0,103.0,133.0,166.0,43.0,49.0,97.0,74.0,12.0,44.0,28.0,28.0,2.9,3.6
2020-01-02 21:00:00,133.0,101.0,103.0,180.0,167.0,34.0,48.0,97.0,74.0,12.0,44.0,27.0,28.0,3.1,3.6
2020-01-02 22:00:00,135.0,103.0,104.0,173.0,169.0,33.0,47.0,102.0,74.0,12.0,44.0,25.0,28.0,3.2,3.6
2020-01-02 23:00:00,128.0,97.0,106.0,169.0,172.0,32.0,47.0,97.0,75.0,11.0,44.0,21.0,28.0,3.2,3.7
2020-01-03 00:00:00,134.0,102.0,107.0,169.0,175.0,30.0,46.0,84.0,75.0,11.0,44.0,18.0,28.0,2.9,3.7
2020-01-03 01:00:00,119.0,90.0,108.0,156.0,176.0,28.0,44.0,82.0,75.0,11.0,44.0,11.0,11.0,2.5,3.6
2020-01-03 02:00:00,132.0,100.0,107.0,144.0,174.0,21.0,42.0,76.0,74.0,12.0,44.0,12.0,12.0,2.8,3.5
2020-01-03 03:00:00,125.0,95.0,106.0,175.0,173.0,20.0,40.0,85.0,74.0,12.0,44.0,12.0,12.0,2.8,3.4
2020-01-03 04:00:00,197.0,123.0,104.0,343.0,178.0,19.0,37.0,81.0,74.0,12.0,44.0,12.0,12.0,2.9,3.3
2020-01-03 05:00:00,139.0,106.0,102.0,209.0,175.0,20.0,35.0,72.0,74.0,14.0,44.0,12.0,12.0,3.0,3.2
2020-01-03 06:00:00,144.0,110.0,101.0,200.0,175.0,21.0,34.0,63.0,73.0,12.0,44.0,12.0,12.0,2.8,3.1
2020-01-03 07:00:00,138.0,105.0,99.0,173.0,172.0,20.0,33.0,59.0,73.0,11.0,44.0,12.0,12.0,2.5,3.0
2020-01-03 08:00:00,110.0,83.0,97.0,140.0,168.0,19.0,32.0,63.0,72.0,12.0,44.0,12.0,12.0,2.9,2.9
2020-01-03 09:00:00,124.0,94.0,95.0,150.0,166.0,19.0,32.0,62.0,72.0,12.0,44.0,12.0,12.0,2.6,2.8
2020-01-03 10:00:00,109.0,82.0,93.0,145.0,163.0,23.0,31.0,58.0,72.0,12.0,44.0,12.0,12.0,2.2,2.7
2020-01-03 11:00:00,104.0,78.0,92.0,131.0,161.0,28.0,31.0,69.0,72.0,15.0,44.0,12.0,12.0,2.5,2.7
2020-01-03 12:00:00,138.0,105.0,92.0,175.0,162.0,32.0,31.0,74.0,73.0,16.0,44.0,13.0,13.0,2.7,2.7
2020-01-03 13:00:00,158.0,120.0,94.0,173.0,162.0,36.0,31.0,79.0,74.0,21.0,44.0,14.0,14.0,2.5,2.7
2020-01-03 14:00:00,124.0,94.0,94.0,168.0,164.0,36.0,30.0,88.0,75.0,24.0,44.0,15.0,15.0,2.6,2.7
2020-01-03 15:00:00,127.0,96.0,95.0,160.0,165.0,36.0,30.0,86.0,76.0,29.0,44.0,18.0,18.0,2.2,2.7
2020-01-03 16:00:00,129.0,98.0,96.0,156.0,166.0,34.0,29.0,82.0,77.0,37.0,44.0,21.0,21.0,1.9,2.6
