Time,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
2020-01-01 00:00:00,74.0,54.0,45.0,86.0,70.0,53.0,33.0,72.0,47.0,10.0,50.0,19.0,43.0,2.2,1.6
2020-01-01 01:00:00,83.0,59.0,46.0,115.0,73.0,30.0,34.0,61.0,47.0,10.0,50.0,10.0,10.0,1.8,1.7
2020-01-01 02:00:00,81.0,59.0,47.0,111.0,75.0,29.0,34.0,59.0,48.0,11.0,50.0,10.0,10.0,2.4,1.7
2020-01-01 03:00:00,99.0,74.0,48.0,142.0,79.0,51.0,35.0,63.0,48.0,10.0,50.0,10.0,10.0,2.8,1.8
2020-01-01 04:00:00,105.0,79.0,50.0,134.0,83.0,66.0,37.0,61.0,49.0,11.0,50.0,10.0,10.0,2.5,1.8
2020-01-01 05:00:00,103.0,77.0,51.0,141.0,85.0,73.0,40.0,57.0,49.0,13.0,50.0,11.0,11.0,3.0,1.9
2020-01-01 06:00:00,104.0,76.0,52.0,157.0,89.0,58.0,42.0,53.0,50.0,12.0,50.0,11.0,11.0,3.0,2.0
2020-01-01 07:00:00,117.0,88.0,55.0,155.0,94.0,67.0,44.0,53.0,51.0,11.0,50.0,11.0,11.0,2.6,2.0
2020-01-01 08:00:00,102.0,76.0,57.0,128.0,97.0,66.0,46.0,54.0,52.0,11.0,50.0,11.0,11.0,2.8,2.1
2020-01-01 09:00:00,118.0,89.0,59.0,139.0,101.0,83.0,48.0,54.0,52.0,14.0,50.0,12.0,12.0,3.7,2.1
2020-01-01 10:00:00,138.0,105.0,62.0,180.0,104.0,96.0,49.0,52.0,53.0,16.0,50.0,12.0,12.0,3.2,2.2
2020-01-01 11:00:00,124.0,94.0,63.0,154.0,107.0,93.0,49.0,52.0,54.0,20.0,50.0,14.0,14.0,3.2,2.2
2020-01-01 12:00:00,137.0,104.0,65.0,170.0,111.0,71.0,51.0,48.0,55.0,23.0,50.0,15.0,15.0,2.9,2.3
2020-01-01 13:00:00,130.0,99.0,68.0,147.0,115.0,61.0,51.0,40.0,56.0,28.0,50.0,17.0,17.0,2.2,2.3
2020-01-01 14:00:00,78.0,50.0,69.0,106.0,117.0,75.0,53.0,43.0,56.0,31.0,50.0,19.0,19.0,2.3,2.3
2020-01-01 15:00:00,80.0,57.0,69.0,109.0,120.0,66.0,54.0,51.0,57.0,33.0,48.0,22.0,22.0,2.5,2.4
