Time,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
2020-05-01 00:00:00,76.0,23.0,18.0,102.0,86.0,7.0,12.0,126.0,48.0,7.0,147.0,68.0,132.0,0.9,0.4
2020-05-01 01:00:00,90.0,31.0,18.0,129.0,86.0,7.0,12.0,121.0,52.0,5.0,147.0,5.0,5.0,0.6,0.4
2020-05-01 02:00:00,96.0,31.0,18.0,142.0,87.0,7.0,12.0,106.0,55.0,6.0,147.0,6.0,6.0,0.6,0.4
2020-05-01 03:00:00,88.0,31.0,19.0,125.0,87.0,9.0,12.0,102.0,58.0,6.0,147.0,6.0,6.0,0.7,0.4
2020-05-01 04:00:00,99.0,41.0,20.0,147.0,89.0,22.0,13.0,100.0,61.0,6.0,147.0,6.0,6.0,0.7,0.4
2020-05-01 05:00:00,78.0,44.0,21.0,105.0,89.0,37.0,14.0,95.0,62.0,6.0,147.0,6.0,6.0,0.5,0.4
2020-05-01 06:00:00,77.0,40.0,22.0,103.0,89.0,25.0,14.0,74.0,63.0,17.0,147.0,8.0,8.0,0.4,0.4
2020-05-01 07:00:00,64.0,32.0,22.0,77.0,87.0,15.0,13.0,65.0,64.0,20.0,147.0,9.0,9.0,0.4,0.4
2020-05-01 08:00:00,70.0,31.0,23.0,89.0,87.0,16.0,13.0,54.0,64.0,28.0,147.0,12.0,12.0,0.5,0.4
2020-05-01 09:00:00,65.0,33.0,23.0,80.0,85.0,11.0,12.0,52.0,64.0,36.0,147.0,16.0,16.0,0.5,0.4
2020-05-01 10:00:00,68.0,32.0,24.0,86.0,85.0,18.0,12.0,24.0,63.0,76.0,147.0,24.0,24.0,0.4,0.4
2020-05-01 11:00:00,58.0,26.0,24.0,66.0,82.0,14.0,12.0,21.0,63.0,92.0,147.0,35.0,35.0,0.4,0.4
2020-05-01 12:00:00,58.0,20.0,24.0,66.0,81.0,10.0,11.0,21.0,62.0,106.0,147.0,48.0,48.0,0.3,0.4
2020-05-01 13:00:00,55.0,18.0,23.0,60.0,81.0,7.0,11.0,15.0,63.0,130.0,147.0,63.0,63.0,0.3,0.4
2020-05-01 14:00:00,52.0,14.0,23.0,54.0,81.0,4.0,11.0,5.0,63.0,144.0,147.0,79.0,79.0,0.2,0.4
2020-05-01 15:00:00,49.0,13.0,23.0,49.0,82.0,4.0,11.0,8.0,63.0,144.0,147.0,94.0,94.0,0.2,0.4
2020-05-01 16:00:00,48.0,15.0,24.0,48.0,82.0,5.0,11.0,8.0,63.0,147.0,147.0,109.0,109.0,0.2,0.4
2020-05-01 17:00:00,46.0,12.0,24.0,40.0,82.0,5.0,11.0,10.0,63.0,145.0,147.0,123.0,123.0,0.2,0.4
2020-05-01 18:00:00,43.0,7.0,24.0,35.0,82.0,5.0,11.0,17.0,63.0,136.0,147.0,130.0,130.0,0.2,0.4
2020-05-01 19:00:00,36.0,7.0,24.0,30.0,82.0,5.0,11.0,36.0,64.0,114.0,147.0,133.0,133.0,0.2,0.4
2020-05-01 20:00:00,41.0,13.0,24.0,41.0,81.0,6.0,11.0,57.0,62.0,94.0,147.0,132.0,133.0,0.3,0.4
2020-05-01 21:00:00,64.0,17.0,24.0,67.0,80.0,6.0,11.0,128.0,63.0,21.0,147.0,118.0,133.0,0.6,0.4
2020-05-01 22:00:00,93.0,28.0,24.0,136.0,82.0,7.0,11.0,126.0,62.0,11.0,147.0,102.0,133.0,0.8,0.4
2020-05-01 23:00:00,80.0,31.0,25.0,109.0,83.0,6.0,11.0,115.0,62.0,22.0,147.0,86.0,133.0,0.6,0.4
2020-05-02 00:00:00,63.0,29.0,25.0,76.0,82.0,6.0,11.0,104.0,61.0,29.0,147.0,72.0,133.0,0.7,0.4
2020-05-02 01:00:00,60.0,25.0,25.0,69.0,79.0,7.0,11.0,119.0,61.0,6.0,147.0,6.0,6.0,0.8,0.4
2020-05-02 02:00:00,92.0,29.0,24.0,134.0,79.0,6.0,11.0,116.0,61.0,8.0,147.0,7.0,7.0,0.6,0.4
2020-05-02 03:00:00,73.0,29.0,24.0,96.0,78.0,7.0,11.0,98.0,61.0,18.0,147.0,11.0,11.0,0.5,0.4
2020-05-02 04:00:00,66.0,29.0,24.0,81.0,75.0,9.0,10.0,87.0,61.0,21.0,147.0,13.0,13.0,0.5,0.4
2020-05-02 05:00:00,58.0,22.0,23.0,66.0,73.0,14.0,9.0,58.0,59.0,46.0,147.0,20.0,20.0,0.5,0.4
2020-05-02 06:00:00,57.0,19.0,22.0,63.0,72.0,6.0,8.0,53.0,58.0,50.0,147.0,25.0,25.0,0.3,0.4
2020-05-02 07:00:00,56.0,15.0,21.0,61.0,71.0,5.0,8.0,54.0,58.0,48.0,147.0,28.0,28.0,0.3,0.4
2020-05-02 08:00:00,59.0,18.0,21.0,67.0,70.0,8.0,8.0,37.0,57.0,67.0,147.0,33.0,33.0,0.4,0.4
2020-05-02 09:00:00,61.0,18.0,20.0,72.0,70.0,18.0,8.0,28.0,56.0,84.0,147.0,43.0,43.0,0.4,0.4
